,x1,y1,x2,y2
2714,748,608,571.88,604.96
2353,408,152,293.76,161.88
1608,884,760,754.8,749.36
249,1224,0,1243.04,4.56
2628,612,304,635.12,508.44
2705,136,608,480.76,294.88
2986,748,760,1075.08,490.96
457,1088,760,1122.0,734.92
2121,272,152,337.28,269.04
1586,748,684,574.6,567.72
1902,1020,152,748.0,190.76
1296,1020,456,857.48,460.56
1846,68,0,393.04,408.88
865,272,608,381.48,564.68
1233,1020,228,669.12,290.32
777,0,304,725.56,405.84
2278,952,684,642.6,717.44
1275,1020,380,1054.0,376.96
1229,748,228,552.16,270.56
52,680,152,557.6,159.6
1814,680,684,652.12,449.92
13,884,0,809.2,15.2
1593,1224,684,751.4,451.44
2419,612,380,544.68,344.28
518,952,152,571.88,149.72
1577,136,684,249.56,593.56
177,612,608,548.76,637.64
2843,1020,228,929.56,332.12
995,544,228,353.6,240.16
1900,884,152,558.28,191.52
898,1088,684,961.52,651.32
1896,612,152,544.68,188.48
1212,1020,152,894.2,153.52
2550,1020,0,799.0,47.88
704,748,0,744.6,2.28
1669,816,152,675.24,239.4
1866,0,76,603.84,71.44
1155,0,0,1130.84,262.2
465,204,0,755.48,95.0
742,476,152,408.0,166.44
753,1224,152,987.36,161.12
1442,952,152,962.88,324.52
1110,1224,608,1280.44,608.0
1206,612,152,352.24,302.48
1788,340,608,407.32,487.16
2023,680,608,578.68,552.52
2855,408,304,500.48,326.8
2135,1224,152,1226.72,194.56
2612,952,228,1158.72,227.24
1473,204,304,382.16,353.4
788,748,304,758.2,315.4
815,1156,380,1024.08,385.32
859,1292,532,1113.16,472.72
452,748,760,342.04,736.44
1245,408,304,310.08,481.84
2504,680,684,407.32,687.04
2668,476,456,514.08,452.96
571,272,380,273.36,306.28
1752,748,456,527.68,468.92
31,680,76,467.16,92.72
2243,0,608,738.48,329.84
2892,68,456,948.6,456.76
517,884,152,656.2,150.48
668,1156,684,932.28,733.4
2167,544,304,363.12,370.12
2950,1156,608,761.6,648.28
1335,816,608,807.16,652.08
468,408,0,304.64,53.2
914,748,760,882.64,746.32
1782,1360,532,1279.08,459.04
1036,476,380,350.2,373.92
1174,1292,0,1153.28,52.44
542,1156,228,1143.76,288.8
833,952,456,937.72,411.92
751,1088,152,985.32,159.6
2926,952,532,1048.56,478.04
2764,1292,760,1029.52,560.12
2556,0,76,1053.32,94.24
72,612,228,369.92,228.76
1096,272,608,322.32,528.96
2234,816,532,756.16,497.8
520,1088,152,1076.44,239.4
2127,680,152,667.08,125.4
2917,340,532,321.64,455.24
1062,816,456,675.24,488.68
1124,748,684,901.68,633.08
1570,1088,608,1038.36,422.56
1402,1088,0,1217.2,129.2
114,612,380,508.64,392.16
163,1088,532,1096.16,527.44
420,0,684,898.28,621.68
519,1020,152,692.24,207.48
110,340,380,313.48,388.36
2270,408,684,401.2,712.88
2566,680,76,774.52,96.52
2415,340,380,305.32,391.4
2012,1360,532,1098.2,557.08
1182,408,76,397.12,74.48
578,748,380,654.84,330.6
2280,1088,684,824.16,718.2
222,816,760,809.88,728.84
2826,1292,152,1179.12,176.32
278,340,152,326.4,171.0
2268,272,684,374.68,713.64
1401,1020,0,1226.72,111.72
1772,680,532,638.52,532.76
1287,408,456,360.4,488.68
1184,544,76,400.52,92.72
1927,1292,228,1020.68,345.8
2674,884,456,811.24,500.08
2379,748,228,668.44,235.6
2870,0,380,683.4,354.92
2729,340,684,306.68,633.84
956,748,76,859.52,77.52
1022,952,304,859.52,310.84
948,204,76,341.36,81.32
525,0,228,549.44,221.16
684,816,760,560.32,726.56
1817,884,684,658.92,427.12
1075,272,532,293.08,465.88
1773,748,532,693.6,446.12
1937,544,304,546.04,304.76
2033,1360,608,903.04,576.84
138,816,456,778.6,470.44
1950,0,380,922.08,250.8
2444,884,456,816.68,442.32
399,0,608,376.04,544.92
2054,1360,684,990.76,654.36
1070,1360,456,1253.24,452.2
1822,1224,684,1152.6,607.24
398,1360,532,1310.36,525.92
2466,952,532,609.96,551.0
1682,272,228,344.08,273.6
2317,816,0,711.96,72.96
2902,748,456,499.8,478.04
2933,0,608,711.96,593.56
2110,952,76,945.88,80.56
846,408,532,450.16,519.08
62,1360,152,1259.36,196.08
2562,408,76,548.76,91.96
673,68,760,506.6,671.84
971,340,152,379.44,184.68
211,68,760,585.48,666.52
701,544,0,580.04,22.04
2352,340,152,334.56,156.56
