,x1,y1,x2,y2
1709,680,304,744.4363,349.9325
2822,1020,152,1022.2578,270.9933
761,340,228,425.84683,390.18854
1487,1156,304,1082.9072,330.21936
2439,544,456,332.6017,447.26562
2983,544,760,629.5433,683.768
1332,612,608,441.4739,695.96497
1273,884,380,565.9142,367.64127
1573,1292,608,1256.8184,576.0565
604,1088,456,1007.50146,485.5274
